name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
"1,2,3 Eoi!",MIC ON,MAMAMOO,2022-10-11,176093,56,0.862,0.0664,0.875,9.97e-06,0.0778,-2.476,0.149,120.084,4
Boys Like You,Boys Like You,ITZY,2022-10-21,223373,73,0.836,0.0318,0.903,0,0.0688,-4.249,0.105,128.009,4
CHILL,MAXIDENT,Stray Kids,2022-10-07,195146,69,0.744,0.115,0.923,0,0.065,-2.797,0.0507,96.005,4
Spray,Love Pt.2 : Passion,WEi,2022-10-19,197920,46,0.589,0.211,0.968,0,0.314,-1.931,0.13,91.997,4
my abandoned love,abandoned love.,Def.,2022-10-17,210474,49,0.543,0.189,0.511,0.00456,0.186,-8.157,0.0381,120.022,4
SUPER BOARD,MAXIDENT,Stray Kids,2022-10-07,185960,69,0.751,0.00653,0.87,0,0.077,-2.551,0.0713,103.019,4
I Like You,Dearest,N.Flying,2022-10-17,206093,50,0.571,0.156,0.87,0,0.0847,-2.071,0.12,200.035,4
Nxde,I love,(G)I-DLE,2022-10-17,178453,86,0.726,0.0413,0.91,7.81e-06,0.479,-1.948,0.179,135.966,4
Panorama,ERROR,LEE CHANHYUK,2022-10-17,198558,50,0.721,0.0475,0.724,0,0.128,-3.33,0.036,109.97,4
ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,2022-10-17,184444,90,0.882,0.0821,0.797,0,0.113,-3.299,0.0819,105.025,4
DOOR,DOOR,FTISLAND,2022-08-10,251849,30,0.523,0.000137,0.939,0,0.313,-4.264,0.0693,134.996,4
Maldives,Youth,WEi,2022-08-11,192000,35,0.685,0.0345,0.837,0,0.072,-2.468,0.0481,121.076,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strawberry Cake,"Hello, world!",Xdinary Heroes,2022-07-20,218080,64,0.476,0.0559,0.67,0,0.324,-4.031,0.0518,199.943,4
POSE,POSE,Kino,2022-08-09,179120,49,0.772,0.00366,0.725,0,0.0691,-4.685,0.148,106.078,4
KISS,LEVIOSA,TRI.BE,2022-08-09,185026,60,0.733,0.0131,0.868,2.01e-05,0.179,-3.05,0.089,104.048,4
Password,Password,INI,2022-08-08,179746,50,0.776,0.00625,0.905,0,0.106,-3.024,0.191,101.967,4
GO,GO,KOYOTE,2022-08-08,208080,30,0.673,0.174,0.915,0,0.0639,-1.863,0.0638,129.992,4
Replay,AURA,Golden Child,2022-08-08,207506,43,0.385,0.00983,0.94,0,0.0705,-2.593,0.102,121.484,4
Timeless,THE BOYZ 7TH MINI ALBUM [BE AWARE],THE BOYZ,2022-08-16,189146,46,0.745,0.154,0.706,0,0.0894,-4.044,0.0611,98.022,4
FOREVER 1,FOREVER 1 - The 7th Album,Girls' Generation,2022-08-05,202533,74,0.615,0.0427,0.871,0,0.254,-1.248,0.0516,123.915,4
Who am I?,Who am I?,ENVIDIA,2022-08-05,207280,10,0.84,0.539,0.739,0.00841,0.137,-4.216,0.0941,155.99,4
SMARTPHONE,SMARTPHONE,YENA,2022-08-03,198586,57,0.628,0.0351,0.878,2.16e-06,0.13,-2.25,0.073,87.969,4
Wing Wing,Wing Wing,Kep1er,2022-08-03,195226,60,0.734,0.0202,0.904,0.00135,0.0388,-2.819,0.105,128.064,4
Chemical,Chemical,from20,2022-08-02,173440,35,0.548,0.156,0.901,0,0.125,-3.513,0.0529,159.96,4
Cookie,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,235562,82,0.847,0.0596,0.638,0,0.0894,-3.764,0.0575,156.935,4
Mixtape : Time Out,Mixtape : Time Out,Stray Kids,2022-08-01,175293,64,0.555,0.0453,0.945,0,0.244,-1.934,0.127,160.006,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ready For Love,BORN PINK,BLACKPINK,2022-09-16,184677,68,0.699,0.0128,0.706,0,0.106,-5.449,0.0996,107.864,4
Drummin′,WHY NOT??,TO1,2022-07-28,200226,41,0.692,0.00323,0.914,1.09e-05,0.0203,-2.154,0.0662,163.994,4
HOOKAH,337,DALsooobin,2022-07-28,177600,19,0.526,0.0207,0.972,0,0.427,-1.716,0.423,150.079,4
Freak,Grown Ass Kid,ZICO,2022-07-27,169973,59,0.629,0.0177,0.886,0,0.296,-2.105,0.303,141.036,4
Pop? Pop!,Sequence : 7272,CSR,2022-07-28,215346,54,0.749,0.0188,0.945,5.41e-06,0.0413,-1.993,0.0503,122.03,4
YOU.F.O,YOU.F.O,Nicole,2022-07-27,184026,33,0.758,0.323,0.949,0,0.295,-1.862,0.198,115.075,4
Just A Dancer,[Genuine],SUNYE,2022-07-26,201466,35,0.748,0.14,0.748,0,0.295,-3.546,0.121,103.972,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Churup!,Churup!,Hezz,2022-07-26,181480,26,0.824,0.313,0.652,0,0.212,-3.675,0.0703,113.936,4
AVIATOR,YOUNI-Q,YOUNITE,2022-07-25,186682,32,0.725,0.055,0.85,0,0.343,-3.846,0.0609,105.004,4
Nerdy,Geekyland,PURPLE KISS,2022-07-25,178346,57,0.732,0.0232,0.797,0,0.152,-2.471,0.0931,136.083,4
Hurt,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,177946,78,0.599,0.731,0.446,0,0.105,-6.511,0.0833,179.877,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stand up!,Stand up!,OMEGA X,2022-07-01,210566,17,0.748,0.0568,0.881,0,0.335,-2.56,0.148,118.961,4
Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,180066,85,0.811,0.236,0.648,0,0.0761,-3.684,0.0368,104.988,4
ParadoXXX Invasion,MANIFESTO : DAY 1,ENHYPEN,2022-07-04,187490,71,0.727,0.0298,0.863,0,0.334,-3.181,0.0879,94.952,4
Doom Du Doom,HARMONY : ZERO IN,P1Harmony,2022-07-20,210333,61,0.764,0.00356,0.797,4.82e-05,0.0811,-2.92,0.0575,123.114,4
Test Me,"Hello, world!",Xdinary Heroes,2022-07-20,199160,63,0.515,0.0208,0.938,0,0.114,-2.7,0.26,166.026,4
Nabillera,Nabillera,HyunA,2022-07-20,168462,58,0.732,0.129,0.668,0.00796,0.0927,-5.472,0.297,187.83,4
BLIND LOVE,We’re Not Alone Final : Only You,GreatGuys,2022-07-20,179493,25,0.644,0.2,0.712,0,0.117,-4.377,0.0665,119.92,4
Look At Me - Korean ver.,Cherish,Kawaguchi Yurina,2022-07-20,184400,28,0.732,0.217,0.778,0,0.045,-5.108,0.0429,137.942,4
Que Sera Sera,Que Sera Sera,ILY:1,2022-07-19,185506,39,0.72,0.122,0.787,0,0.0961,-3.49,0.07,160.057,4
BEAUTIFUL MONSTER,WE NEED LOVE,STAYC,2022-07-19,180000,70,0.594,0.121,0.647,0,0.352,-4.347,0.0834,82.321,4
SEOUL DRIFT,SEOUL DRIFT,ZICO,2022-07-19,199626,54,0.697,0.0564,0.777,0,0.339,-5.041,0.209,165.035,4
NO THANKS,iCE,HYOLYN,2022-07-18,181373,45,0.88,0.0168,0.797,0.000154,0.235,-3.488,0.0532,95.99,4
_WORLD,SEVENTEEN 4th Album Repackage 'SECTOR 17',SEVENTEEN,2022-07-18,178453,76,0.709,0.312,0.809,0,0.0899,-3.198,0.0541,111.01,4
Arson,Jack In The Box,j-hope,2022-07-15,159761,78,0.938,0.00813,0.798,7.03e-05,0.146,-3.998,0.103,99.992,4
SNEAKERS,CHECKMATE,ITZY,2022-07-15,179453,75,0.935,0.0192,0.849,0,0.0223,-3.047,0.0779,119.986,4
Celebrate,Celebrate,TWICE,2022-07-15,188433,66,0.776,0.0628,0.89,0,0.0634,-2.678,0.0573,111.998,4
Patbingsu,track by YOON: Patbingsu,Billlie,2022-07-14,209870,47,0.459,0.0132,0.896,1.27e-05,0.091,-3.678,0.103,132.003,4
Hi-Way,Summer Ride,Hi-L,2022-07-14,188040,19,0.78,0.201,0.941,6.02e-06,0.587,-2.31,0.128,120.028,4
SCREAM,THE WAVE OF9,SF9,2022-07-13,188733,46,0.77,0.129,0.885,0,0.0865,-3.536,0.144,120.041,4
