date,artist,song_name,video,group_type,release,link,like_count,view_count
2022-10-21,Mamamoo,"1,2,3 Eoi!",https://youtu.be/jpZF2zW38TE,Girl,Minor,https://www.youtube.com/watch?v=jpZF2zW38TE,143498,1565493
2022-10-21,ITZY,Boys Like You,https://youtu.be/6uZy86ePgO0,Girl,English,https://www.youtube.com/watch?v=6uZy86ePgO0,1074480,18656331
2022-10-20,Stray Kids,Chill,Youtube,Boy,Minor,https://www.youtube.com/watch?v=dtV1I9WtQuo,648317,7659405
2022-10-19,WEi,Spray,Youtube,Boy,Major,https://www.youtube.com/watch?v=oZQ-guD9BD8,54419,10681867
2022-10-18,Def.,my abandoned love,Youtube,Boy Solo,Minor,https://www.youtube.com/watch?v=BJa1N8YuHnY,38663,320851
2022-10-17,Stray Kids,SUPER BOARD,Youtube,Boy,Minor,https://www.youtube.com/watch?v=8ziUcTYwARI,801735,10718122
2022-10-17,N.Flying,I Like You,Youtube,Boy,Major,https://www.youtube.com/watch?v=YDSSk-YaZ0s,36483,805492
2022-10-17,(G)I-DLE,Nxde,Youtube,Girl,Major,https://www.youtube.com/watch?v=fCO7f0SmrDc,2676021,152608332
2022-10-17,Lee Chanhyuk,Panorama,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=Y7C8qIpo7Dg,95958,2377658
2022-10-16,LE SSERAFIM,ANTIFRAGILE,Youtube,Girl,Major,https://www.youtube.com/watch?v=pyf8cbqyfPs,2045627,93127126
2022-08-10,FTISLAND,DOOR,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=wKYCOlLxY8Q,19281,279490
2022-08-10,WEi,Maldives,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=JjH-4XRWZAk,13991,348173
2022-08-09,HUH YUNJIN of LE SSERAFIM,Raise your glass,Youtube,Girl Solo,Minor,https://www.youtube.com/watch?v=7hBf9Fxsg6M,315239,4949695
2022-08-09,Xdinary Heroes,Strawberry Cake,Youtube,Boy,Major,https://www.youtube.com/watch?v=atWpuwRcMoc,364526,4867075
2022-08-09,Kino (Pentagon),Pose,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=NspDERHZ-O4,59856,652340
2022-08-09,TRI.BE,Kiss,Youtube,Girl,Major,https://www.youtube.com/watch?v=5UdoUmvu_n8,239905,26964439
2022-08-08,INI,Password,Youtube,Boy,Major,https://www.youtube.com/watch?v=ZU58-PZnXOM,61230,11259622
2022-08-08,Koyote,Go!,Youtube,Co-ed,Major,https://www.youtube.com/watch?v=1EjjS4n33e8,4309,113764
2022-08-08,Golden Child,Replay,Youtube,Boy,Major,https://www.youtube.com/watch?v=qa9PSlGkY_s,47412,11484580
2022-08-08,The Boyz,Timeless,Youtube,Boy,Minor,https://www.youtube.com/watch?v=P6h63H_MevE,120869,8766972
2022-08-05,Girls' Generation,Forever 1,Youtube,Girl,Major,https://www.youtube.com/watch?v=Qpf26PtBXgo,1957691,53098783
2022-08-05,ENVIDIA,Who am I?,Youtube,Girl,Major,https://www.youtube.com/watch?v=nHyXdn6bFCk,520,12240
2022-08-03,YENA,SMARTPHONE,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=5ncp-_GXBsU,269144,19678175
2022-08-02,Kep1er,Wing Wing,Youtube,Girl,Japanese,https://www.youtube.com/watch?v=eK4i2oN8jCk,505383,18117701
2022-08-02,from20,Chemical,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=9BoUqyrQUiY,2541,208604
2022-08-01,NewJeans,Cookie,Youtube,Girl,Major,https://www.youtube.com/watch?v=VOmIplFAGeg,895955,35778288
2022-07-31,Stray Kids,Time Out,Youtube,Boy,Minor,https://www.youtube.com/watch?v=ukIGxgdbqqI,1043135,10353657
2022-07-29,ATEEZ,Guerilla,Youtube,Boy,Major,https://www.youtube.com/watch?v=2HcVZm_4qAI,812237,30348842
2022-07-29,BLACKPINK,Ready For Love,Youtube,Girl,CF,https://www.youtube.com/watch?v=7WyHtSlvHD4,5099182,114930535
2022-07-28,TO1,Drummin',Youtube,Boy,Major,https://www.youtube.com/watch?v=AE7CbOAc3no,36039,10804117
2022-07-28,Dalsooobin,Hookah,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=tB51u7q1SoU,1138,10494
2022-07-27,Zico,Freak,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=JEXsNICXdrc,180802,10017914
2022-07-27,CSR,Pop? Pop!,Youtube,Girl,Major,https://www.youtube.com/watch?v=6vbwpEc0EeA,59442,2055487
2022-07-27,Nicole,YOU.F.O,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=QV0iSCnV9Tg,12180,197892
2022-07-26,Sunye,Just a Dancer,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=FfxC1EmEob4,29073,532922
2022-07-26,KB (OnlyOneOf),be free,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=WkKU-9VnNRU,127717,2843928
